id,symbol,name,current_price,market_cap,price_change_24h,price_change_percentage_24h,last_updated,fetched_at
bitcoin,btc,Bitcoin,113993.0,2269454041188,-605.8965909277613,-0.52871,2025-08-06T09:45:44.141Z,2025-08-06T10:47:23.129165
ethereum,eth,Ethereum,3622.19,437629108315,-29.20198326158834,-0.79975,2025-08-06T09:45:43.986Z,2025-08-06T10:47:23.129173
ripple,xrp,XRP,2.94,174517579440,-0.10692932732000182,-3.50935,2025-08-06T09:45:43.851Z,2025-08-06T10:47:23.129177
tether,usdt,Tether,0.999946,163813294949,9.601e-05,0.0096,2025-08-06T09:45:44.022Z,2025-08-06T10:47:23.129179
binancecoin,bnb,BNB,761.93,106194636702,1.45,0.19013,2025-08-06T09:45:43.873Z,2025-08-06T10:47:23.129181
solana,sol,Solana,163.79,88237566759,-4.517996216021942,-2.68431,2025-08-06T09:45:43.780Z,2025-08-06T10:47:23.129184
usd-coin,usdc,USDC,0.999774,64606012685,-1.5117580171364e-05,-0.00151,2025-08-06T09:45:44.383Z,2025-08-06T10:47:23.129186
staked-ether,steth,Lido Staked Ether,3616.26,32199184237,-29.938500405110062,-0.82109,2025-08-06T09:45:43.558Z,2025-08-06T10:47:23.129188
tron,trx,TRON,0.334804,31700335889,0.00153964,0.46199,2025-08-06T09:45:43.770Z,2025-08-06T10:47:23.129190
dogecoin,doge,Dogecoin,0.200483,30176199472,-0.00469457602402254,-2.28805,2025-08-06T09:45:43.867Z,2025-08-06T10:47:23.129192
